Flow,min_data,q1_data,med_data,q3_data,max_data,min_iat,q1_iat,med_iat,q3_iat,max_iat,label
192.168.159.131:3850-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001035,0.001035,0.001035,0.001035,0.001035,1
192.168.159.1:60334-192.168.159.131:2909,50,51.0,52.0,53.0,54,0.001084,0.001084,0.001084,0.001084,0.001084,1
192.168.159.131:2909-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001084,0.001084,0.001084,0.001084,0.001084,1
192.168.159.1:60334-192.168.159.131:3442,50,51.0,52.0,53.0,54,0.001134,0.001134,0.001134,0.001134,0.001134,1
192.168.159.131:3442-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001134,0.001134,0.001134,0.001134,0.001134,1
192.168.159.1:60334-192.168.159.131:2622,50,51.0,52.0,53.0,54,0.001205,0.001205,0.001205,0.001205,0.001205,1
192.168.159.131:2622-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001205,0.001205,0.001205,0.001205,0.001205,1
192.168.159.1:60334-192.168.159.131:2569,50,51.0,52.0,53.0,54,0.001251,0.001251,0.001251,0.001251,0.001251,1
192.168.159.131:2569-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001251,0.001251,0.001251,0.001251,0.001251,1
192.168.159.1:60334-192.168.159.131:2243,50,51.0,52.0,53.0,54,0.001301,0.001301,0.001301,0.001301,0.001301,1
192.168.159.131:2243-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001301,0.001301,0.001301,0.001301,0.001301,1
192.168.159.1:60334-192.168.159.131:3033,50,51.0,52.0,53.0,54,0.001371,0.001371,0.001371,0.001371,0.001371,1
192.168.159.131:3033-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001371,0.001371,0.001371,0.001371,0.001371,1
192.168.159.1:60334-192.168.159.131:3289,50,51.0,52.0,53.0,54,0.001417,0.001417,0.001417,0.001417,0.001417,1
192.168.159.131:3289-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001417,0.001417,0.001417,0.001417,0.001417,1
192.168.159.1:60334-192.168.159.131:3729,50,51.0,52.0,53.0,54,0.000399,0.000399,0.000399,0.000399,0.000399,1
192.168.159.131:3729-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000399,0.000399,0.000399,0.000399,0.000399,1
192.168.159.1:60334-192.168.159.131:2989,50,51.0,52.0,53.0,54,0.000566,0.000566,0.000566,0.000566,0.000566,1
192.168.159.131:2989-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000566,0.000566,0.000566,0.000566,0.000566,1
192.168.159.1:60334-192.168.159.131:3356,50,51.0,52.0,53.0,54,0.000714,0.000714,0.000714,0.000714,0.000714,1
192.168.159.131:3356-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000714,0.000714,0.000714,0.000714,0.000714,1
192.168.159.1:60334-192.168.159.131:3310,50,51.0,52.0,53.0,54,0.000824,0.000824,0.000824,0.000824,0.000824,1
192.168.159.131:3310-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000824,0.000824,0.000824,0.000824,0.000824,1
192.168.159.1:60334-192.168.159.131:2022,50,51.0,52.0,53.0,54,0.001051,0.001051,0.001051,0.001051,0.001051,1
192.168.159.131:2022-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001051,0.001051,0.001051,0.001051,0.001051,1
192.168.159.1:60334-192.168.159.131:2743,50,51.0,52.0,53.0,54,0.001107,0.001107,0.001107,0.001107,0.001107,1
192.168.159.131:2743-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001107,0.001107,0.001107,0.001107,0.001107,1
192.168.159.1:60334-192.168.159.131:1106,50,51.0,52.0,53.0,54,0.001156,0.001156,0.001156,0.001156,0.001156,1
192.168.159.131:1106-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001156,0.001156,0.001156,0.001156,0.001156,1
192.168.159.1:60334-192.168.159.131:781,50,51.0,52.0,53.0,54,0.001212,0.001212,0.001212,0.001212,0.001212,1
192.168.159.131:781-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001212,0.001212,0.001212,0.001212,0.001212,1
192.168.159.1:60334-192.168.159.131:3856,50,51.0,52.0,53.0,54,0.001252,0.001252,0.001252,0.001252,0.001252,1
192.168.159.131:3856-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001252,0.001252,0.001252,0.001252,0.001252,1
192.168.159.1:60334-192.168.159.131:1133,50,51.0,52.0,53.0,54,0.001301,0.001301,0.001301,0.001301,0.001301,1
192.168.159.131:1133-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001301,0.001301,0.001301,0.001301,0.001301,1
192.168.159.1:60334-192.168.159.131:1798,50,51.0,52.0,53.0,54,0.001353,0.001353,0.001353,0.001353,0.001353,1
192.168.159.131:1798-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001353,0.001353,0.001353,0.001353,0.001353,1
192.168.159.1:60334-192.168.159.131:315,50,51.0,52.0,53.0,54,0.001406,0.001406,0.001406,0.001406,0.001406,1
192.168.159.131:315-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001406,0.001406,0.001406,0.001406,0.001406,1
192.168.159.1:60334-192.168.159.131:3835,50,51.0,52.0,53.0,54,0.001451,0.001451,0.001451,0.001451,0.001451,1
192.168.159.131:3835-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001451,0.001451,0.001451,0.001451,0.001451,1
192.168.159.1:60334-192.168.159.131:2121,50,51.0,52.0,53.0,54,0.001513,0.001513,0.001513,0.001513,0.001513,1
192.168.159.131:2121-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001513,0.001513,0.001513,0.001513,0.001513,1
192.168.159.1:60334-192.168.159.131:3538,50,51.0,52.0,53.0,54,0.001565,0.001565,0.001565,0.001565,0.001565,1
192.168.159.131:3538-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001565,0.001565,0.001565,0.001565,0.001565,1
192.168.159.1:60334-192.168.159.131:3302,50,51.0,52.0,53.0,54,0.001609,0.001609,0.001609,0.001609,0.001609,1
192.168.159.131:3302-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001609,0.001609,0.001609,0.001609,0.001609,1
192.168.159.1:60334-192.168.159.131:3388,50,51.0,52.0,53.0,54,0.001661,0.001661,0.001661,0.001661,0.001661,1
192.168.159.131:3388-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001661,0.001661,0.001661,0.001661,0.001661,1
192.168.159.1:60334-192.168.159.131:909,50,51.0,52.0,53.0,54,0.001711,0.001711,0.001711,0.001711,0.001711,1
192.168.159.131:909-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001711,0.001711,0.001711,0.001711,0.001711,1
192.168.159.1:60334-192.168.159.131:1532,50,51.0,52.0,53.0,54,0.001779,0.001779,0.001779,0.001779,0.001779,1
192.168.159.131:1532-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001779,0.001779,0.001779,0.001779,0.001779,1
192.168.159.1:60334-192.168.159.131:1313,50,51.0,52.0,53.0,54,0.001837,0.001837,0.001837,0.001837,0.001837,1
192.168.159.131:1313-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001837,0.001837,0.001837,0.001837,0.001837,1
192.168.159.1:60334-192.168.159.131:720,50,51.0,52.0,53.0,54,0.001877,0.001877,0.001877,0.001877,0.001877,1
192.168.159.131:720-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001877,0.001877,0.001877,0.001877,0.001877,1
192.168.159.1:60334-192.168.159.131:3113,50,51.0,52.0,53.0,54,0.001943,0.001943,0.001943,0.001943,0.001943,1
192.168.159.131:3113-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001943,0.001943,0.001943,0.001943,0.001943,1
192.168.159.1:60334-192.168.159.131:2307,50,51.0,52.0,53.0,54,0.001995,0.001995,0.001995,0.001995,0.001995,1
192.168.159.131:2307-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001995,0.001995,0.001995,0.001995,0.001995,1
192.168.159.1:60334-192.168.159.131:1084,50,51.0,52.0,53.0,54,0.002040,0.002040,0.002040,0.002040,0.002040,1
192.168.159.131:1084-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002040,0.002040,0.002040,0.002040,0.002040,1
192.168.159.1:60334-192.168.159.131:2144,50,51.0,52.0,53.0,54,0.002101,0.002101,0.002101,0.002101,0.002101,1
192.168.159.131:2144-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002101,0.002101,0.002101,0.002101,0.002101,1
192.168.159.1:60334-192.168.159.131:1528,50,51.0,52.0,53.0,54,0.002152,0.002152,0.002152,0.002152,0.002152,1
192.168.159.131:1528-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002152,0.002152,0.002152,0.002152,0.002152,1
192.168.159.1:60334-192.168.159.131:1163,50,51.0,52.0,53.0,54,0.002198,0.002198,0.002198,0.002198,0.002198,1
192.168.159.131:1163-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002198,0.002198,0.002198,0.002198,0.002198,1
192.168.159.1:60334-192.168.159.131:2225,50,51.0,52.0,53.0,54,0.002271,0.002271,0.002271,0.002271,0.002271,1
192.168.159.131:2225-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002271,0.002271,0.002271,0.002271,0.002271,1
192.168.159.1:60334-192.168.159.131:1258,50,51.0,52.0,53.0,54,0.002326,0.002326,0.002326,0.002326,0.002326,1
192.168.159.131:1258-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002326,0.002326,0.002326,0.002326,0.002326,1
192.168.159.1:60334-192.168.159.131:1494,50,51.0,52.0,53.0,54,0.002377,0.002377,0.002377,0.002377,0.002377,1
192.168.159.131:1494-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002377,0.002377,0.002377,0.002377,0.002377,1
192.168.159.1:60334-192.168.159.131:1589,50,51.0,52.0,53.0,54,0.002450,0.002450,0.002450,0.002450,0.002450,1
192.168.159.131:1589-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002450,0.002450,0.002450,0.002450,0.002450,1
192.168.159.1:60334-192.168.159.131:2988,50,51.0,52.0,53.0,54,0.002522,0.002522,0.002522,0.002522,0.002522,1
192.168.159.131:2988-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002522,0.002522,0.002522,0.002522,0.002522,1
192.168.159.1:60334-192.168.159.131:2342,50,51.0,52.0,53.0,54,0.002577,0.002577,0.002577,0.002577,0.002577,1
192.168.159.131:2342-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002577,0.002577,0.002577,0.002577,0.002577,1
192.168.159.1:60334-192.168.159.131:428,50,51.0,52.0,53.0,54,0.002629,0.002629,0.002629,0.002629,0.002629,1
192.168.159.131:428-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.002629,0.002629,0.002629,0.002629,0.002629,1
192.168.159.1:60334-192.168.159.131:1205,50,51.0,52.0,53.0,54,0.000465,0.000465,0.000465,0.000465,0.000465,1
192.168.159.131:1205-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000465,0.000465,0.000465,0.000465,0.000465,1
192.168.159.1:60334-192.168.159.131:1626,50,51.0,52.0,53.0,54,0.000586,0.000586,0.000586,0.000586,0.000586,1
192.168.159.131:1626-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000586,0.000586,0.000586,0.000586,0.000586,1
192.168.159.1:60334-192.168.159.131:2661,50,51.0,52.0,53.0,54,0.000722,0.000722,0.000722,0.000722,0.000722,1
192.168.159.131:2661-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000722,0.000722,0.000722,0.000722,0.000722,1
192.168.159.1:60334-192.168.159.131:3878,50,51.0,52.0,53.0,54,0.012397,0.012397,0.012397,0.012397,0.012397,1
192.168.159.131:3878-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012397,0.012397,0.012397,0.012397,0.012397,1
192.168.159.1:60334-192.168.159.131:226,50,51.0,52.0,53.0,54,0.012489,0.012489,0.012489,0.012489,0.012489,1
192.168.159.131:226-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012489,0.012489,0.012489,0.012489,0.012489,1
192.168.159.1:60334-192.168.159.131:2089,50,51.0,52.0,53.0,54,0.012577,0.012577,0.012577,0.012577,0.012577,1
192.168.159.131:2089-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012577,0.012577,0.012577,0.012577,0.012577,1
192.168.159.1:60334-192.168.159.131:1286,50,51.0,52.0,53.0,54,0.012637,0.012637,0.012637,0.012637,0.012637,1
192.168.159.131:1286-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012637,0.012637,0.012637,0.012637,0.012637,1
192.168.159.1:60334-192.168.159.131:2562,50,51.0,52.0,53.0,54,0.012695,0.012695,0.012695,0.012695,0.012695,1
192.168.159.131:2562-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012695,0.012695,0.012695,0.012695,0.012695,1
192.168.159.1:60334-192.168.159.131:1726,50,51.0,52.0,53.0,54,0.012759,0.012759,0.012759,0.012759,0.012759,1
192.168.159.131:1726-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012759,0.012759,0.012759,0.012759,0.012759,1
192.168.159.1:60334-192.168.159.131:3814,50,51.0,52.0,53.0,54,0.012807,0.012807,0.012807,0.012807,0.012807,1
192.168.159.131:3814-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012807,0.012807,0.012807,0.012807,0.012807,1
192.168.159.1:60334-192.168.159.131:1594,50,51.0,52.0,53.0,54,0.012880,0.012880,0.012880,0.012880,0.012880,1
192.168.159.131:1594-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012880,0.012880,0.012880,0.012880,0.012880,1
192.168.159.1:60334-192.168.159.131:2549,50,51.0,52.0,53.0,54,0.012934,0.012934,0.012934,0.012934,0.012934,1
192.168.159.131:2549-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012934,0.012934,0.012934,0.012934,0.012934,1
192.168.159.1:60334-192.168.159.131:2638,50,51.0,52.0,53.0,54,0.012986,0.012986,0.012986,0.012986,0.012986,1
192.168.159.131:2638-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.012986,0.012986,0.012986,0.012986,0.012986,1
192.168.159.1:60334-192.168.159.131:1340,50,51.0,52.0,53.0,54,0.013058,0.013058,0.013058,0.013058,0.013058,1
192.168.159.131:1340-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013058,0.013058,0.013058,0.013058,0.013058,1
192.168.159.1:60334-192.168.159.131:3086,50,51.0,52.0,53.0,54,0.013109,0.013109,0.013109,0.013109,0.013109,1
192.168.159.131:3086-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013109,0.013109,0.013109,0.013109,0.013109,1
192.168.159.1:60334-192.168.159.131:1429,50,51.0,52.0,53.0,54,0.013163,0.013163,0.013163,0.013163,0.013163,1
192.168.159.131:1429-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013163,0.013163,0.013163,0.013163,0.013163,1
192.168.159.1:60334-192.168.159.131:3670,50,51.0,52.0,53.0,54,0.013236,0.013236,0.013236,0.013236,0.013236,1
192.168.159.131:3670-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013236,0.013236,0.013236,0.013236,0.013236,1
192.168.159.1:60334-192.168.159.131:3825,50,51.0,52.0,53.0,54,0.013279,0.013279,0.013279,0.013279,0.013279,1
192.168.159.131:3825-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013279,0.013279,0.013279,0.013279,0.013279,1
192.168.159.1:60334-192.168.159.131:1364,50,51.0,52.0,53.0,54,0.013336,0.013336,0.013336,0.013336,0.013336,1
192.168.159.131:1364-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013336,0.013336,0.013336,0.013336,0.013336,1
192.168.159.1:60334-192.168.159.131:3710,50,51.0,52.0,53.0,54,0.013412,0.013412,0.013412,0.013412,0.013412,1
192.168.159.131:3710-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013412,0.013412,0.013412,0.013412,0.013412,1
192.168.159.1:60334-192.168.159.131:1090,50,51.0,52.0,53.0,54,0.013464,0.013464,0.013464,0.013464,0.013464,1
192.168.159.131:1090-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013464,0.013464,0.013464,0.013464,0.013464,1
192.168.159.1:60334-192.168.159.131:2054,50,51.0,52.0,53.0,54,0.013517,0.013517,0.013517,0.013517,0.013517,1
192.168.159.131:2054-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013517,0.013517,0.013517,0.013517,0.013517,1
192.168.159.1:60334-192.168.159.131:713,50,51.0,52.0,53.0,54,0.013571,0.013571,0.013571,0.013571,0.013571,1
192.168.159.131:713-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013571,0.013571,0.013571,0.013571,0.013571,1
192.168.159.1:60334-192.168.159.131:682,50,51.0,52.0,53.0,54,0.013624,0.013624,0.013624,0.013624,0.013624,1
192.168.159.131:682-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013624,0.013624,0.013624,0.013624,0.013624,1
192.168.159.1:60334-192.168.159.131:972,50,51.0,52.0,53.0,54,0.013698,0.013698,0.013698,0.013698,0.013698,1
192.168.159.131:972-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013698,0.013698,0.013698,0.013698,0.013698,1
192.168.159.1:60334-192.168.159.131:2329,50,51.0,52.0,53.0,54,0.013750,0.013750,0.013750,0.013750,0.013750,1
192.168.159.131:2329-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013750,0.013750,0.013750,0.013750,0.013750,1
192.168.159.1:60334-192.168.159.131:2334,50,51.0,52.0,53.0,54,0.013807,0.013807,0.013807,0.013807,0.013807,1
192.168.159.131:2334-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013807,0.013807,0.013807,0.013807,0.013807,1
192.168.159.1:60334-192.168.159.131:490,50,51.0,52.0,53.0,54,0.013879,0.013879,0.013879,0.013879,0.013879,1
192.168.159.131:490-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013879,0.013879,0.013879,0.013879,0.013879,1
192.168.159.1:60334-192.168.159.131:974,50,51.0,52.0,53.0,54,0.013930,0.013930,0.013930,0.013930,0.013930,1
192.168.159.131:974-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.013930,0.013930,0.013930,0.013930,0.013930,1
192.168.159.1:60334-192.168.159.131:3525,50,51.0,52.0,53.0,54,0.014006,0.014006,0.014006,0.014006,0.014006,1
192.168.159.131:3525-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014006,0.014006,0.014006,0.014006,0.014006,1
192.168.159.1:60334-192.168.159.131:1232,50,51.0,52.0,53.0,54,0.014061,0.014061,0.014061,0.014061,0.014061,1
192.168.159.131:1232-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014061,0.014061,0.014061,0.014061,0.014061,1
192.168.159.1:60334-192.168.159.131:3315,50,51.0,52.0,53.0,54,0.014113,0.014113,0.014113,0.014113,0.014113,1
192.168.159.131:3315-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014113,0.014113,0.014113,0.014113,0.014113,1
192.168.159.1:60334-192.168.159.131:1788,50,51.0,52.0,53.0,54,0.014171,0.014171,0.014171,0.014171,0.014171,1
192.168.159.131:1788-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014171,0.014171,0.014171,0.014171,0.014171,1
192.168.159.1:60334-192.168.159.131:603,50,51.0,52.0,53.0,54,0.014246,0.014246,0.014246,0.014246,0.014246,1
192.168.159.131:603-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014246,0.014246,0.014246,0.014246,0.014246,1
192.168.159.1:60334-192.168.159.131:245,50,51.0,52.0,53.0,54,0.014299,0.014299,0.014299,0.014299,0.014299,1
192.168.159.131:245-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014299,0.014299,0.014299,0.014299,0.014299,1
192.168.159.1:60334-192.168.159.131:1799,50,51.0,52.0,53.0,54,0.014347,0.014347,0.014347,0.014347,0.014347,1
192.168.159.131:1799-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014347,0.014347,0.014347,0.014347,0.014347,1
192.168.159.1:60334-192.168.159.131:3594,50,51.0,52.0,53.0,54,0.014418,0.014418,0.014418,0.014418,0.014418,1
192.168.159.131:3594-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014418,0.014418,0.014418,0.014418,0.014418,1
192.168.159.1:60334-192.168.159.131:1840,50,51.0,52.0,53.0,54,0.014493,0.014493,0.014493,0.014493,0.014493,1
192.168.159.131:1840-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014493,0.014493,0.014493,0.014493,0.014493,1
192.168.159.1:60334-192.168.159.131:2600,50,51.0,52.0,53.0,54,0.014550,0.014550,0.014550,0.014550,0.014550,1
192.168.159.131:2600-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014550,0.014550,0.014550,0.014550,0.014550,1
192.168.159.1:60334-192.168.159.131:719,50,51.0,52.0,53.0,54,0.014597,0.014597,0.014597,0.014597,0.014597,1
192.168.159.131:719-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014597,0.014597,0.014597,0.014597,0.014597,1
192.168.159.1:60334-192.168.159.131:281,50,51.0,52.0,53.0,54,0.014751,0.014751,0.014751,0.014751,0.014751,1
192.168.159.131:281-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.014751,0.014751,0.014751,0.014751,0.014751,1
